ID,Common Name,Scientific Name,Family,Order/Taxa,Category,Sub-Category,Location,Habitat,Trophic Level,Ecological Role,Description,Image Target,Survey Source,Contributor Team
FL-01,White Champa / Frangipani,Plumeria obtusa,Apocynaceae,,Plant (Evergreen Tree / Shrub),,Pathway behind Dhanyas,Cultivated Landscape / Pathway border,Primary Producer (Trophic Level 1),"Ornamental flowering shrub/tree with broad, obovate glossy green leaves with blunt apices. Flowers provide nectar to pollinators like hawk moths.",Evergreen tree/shrub known for glossy dark green obovate leaves with blunt tips and fragrant white flowers with yellow centers. Drought tolerant and highly attractive to pollinating sphinx/hawk moths.,plumeria_obtusa.png,Survey Specimen 01,Team Aryan
FL-02,Tropical Hibiscus / China Rose & Red Hibiscus / Shoeblack Plant,Hibiscus rosa-sinensis,Malvaceae,,Plant (Evergreen Woody Perennial Shrub),,Pathway behind Dhanyas,Garden hedge / Pathway border,Primary Producer (Trophic Level 1),"Widely planted ornamental shrub supporting local pollinators including butterflies, bees, and nectar-feeding birds (sunbirds). Crimson and multi-colored blooms feature prominent staminal columns.",Evergreen flowering shrub with ovate serrated leaves and large solitary 5-petaled flowers with exerted staminal columns. Observed in multiple color cultivars (Tropical China Rose morph and Crimson Red Shoeblack morph) across campus pathways.,hibiscus_rosa_sinensis.png,Survey Specimens 02 & 12 (Deduplicated single species with documented cultivars),Team Aryan
FL-03,Peppervine,Nekemias arborea (syn. Ampelopsis arborea),Vitaceae,,Plant (Woody Climbing Vine),,Pathway behind Dhanyas,Climbing vegetation / Ground cover,Primary Producer (Trophic Level 1),"Bipinnate vine that acts as ground cover and climbs nearby vegetation, providing shelter for small insects and berries consumed by wild birds.",Perennial deciduous or semi-evergreen woody vine characterized by bipinnately compound leaves with serrated margins. Produces small berry clusters that serve as crucial food for campus avifauna.,nekemias_arborea.png,Survey Specimen 03,Team Aryan
FL-04,Bismarck Palm,Bismarckia nobilis,Arecaceae,,Plant (Solitary Fan Palm / Tree),,Campus entrance,Open landscape / Architectural accent,Primary Producer (Trophic Level 1),"Distinctive silvery-blue, massive fan-shaped fronds. Serves as an ornamental accent tree and microhabitat for urban birds and insects. Falling leaves add organic biomass to soil.","Noble solitary palm indigenous to Madagascar with a stout trunk topped by a massive spherical crown of steel-blue, costapalmate leaves. Provides elevated perches for predatory and passerine birds.",bismarckia_nobilis.png,Survey Specimen 04,Team Aryan
FL-05,Bamboo Palm / Lady Palm,Rhapis excelsa,Arecaceae,,Plant (Clumping Fan Palm / Shrub),,AB3 open space,Shaded understory / Courtyard,Primary Producer (Trophic Level 1),"Multi-stemmed, shade-tolerant palm with glossy palmate fronds, commonly cultivated in campus understory landscapes and indoor atriums. Provides dense lower-canopy cover.",Densely clustering fan palm with slender bamboo-like stems covered in coarse brown fiber. The deeply divided palmate leaves create microhabitats for ground invertebrates.,rhapis_excelsa.png,Survey Specimen 05,Team Aryan
FL-06,Sugar Date Palm / Wild Date Palm,Phoenix sylvestris,Arecaceae,,Plant (Tree / Arecaceae),,AB3,Open grounds / Semi-arid landscape,Primary Producer (Trophic Level 1),"Hardy native palm producing dense crowns of spiny pinnate leaves and small edible fruits that feed bats, birds, and bonnet macaques.","Robust native palm reaching up to 15m in height, characterized by diamond-shaped leaf base scars on the trunk. Fruit clusters are vital seasonal food resources for campus wildlife.",phoenix_sylvestris.png,Survey Specimen 06,Team Aryan
FL-07,Golden Trumpet / Yellow Allamanda,Allamanda cathartica,Apocynaceae,,Plant (Woody Climbing Shrub / Apocynaceae),,AB2,Ornamental garden bed / Wall trellis,Primary Producer (Trophic Level 1),"Evergreen sprawling shrub with large, vivid yellow funnel-shaped blooms. High ornamental value; supports long-tongued insect pollinators.",Vigorous sprawling evergreen shrub with whorled glossy leathery leaves and trumpet-shaped golden-yellow flowers emitting a delicate fragrance.,allamanda_cathartica.png,Survey Specimen 07,Team Aryan
FL-08,Yellow Alder / Yellow Buttercup (Ramgovam),Turnera ulmifolia,Passifloraceae,,Plant (Flowering Herb / Subshrub / Passifloraceae),,Pathway behind Dhanyas,Sunny roadside margin / Open soil,Primary Producer (Trophic Level 1),Serrated leaves with paired extrafloral nectaries at leaf bases that attract ants for biological protection; bright yellow diurnal flowers sustain diverse butterflies and bees.,"Erect perennial subshrub with deeply veined, dark green serrated leaves. Exhibits mutualistic interactions with native ants through nectar-secreting glands on petioles.",turnera_ulmifolia.png,Survey Specimen 08,Team Aryan
FL-09,White Frangipani / Singapore Graveyard Flower,Plumeria alba,Apocynaceae,,Plant (Deciduous Flowering Tree / Apocynaceae),,AB1,Open quadrangle / Building surroundings,Primary Producer (Trophic Level 1),"Highly fragrant, five-petaled white flowers with a central yellow throat. Produces milky latex; pollinated primarily by nocturnal sphinx moths.",Small deciduous tree with narrow elongated lanceolate leaves having distinct downward-curled margins. Flowers release intense fragrance in the evening.,plumeria_alba.png,Survey Specimen 09,Team Aryan
FL-10,Red Frangipani / Pink Temple Tree,Plumeria rubra,Apocynaceae,,Plant (Small Flowering Tree / Apocynaceae),,AB3,Landscaped courtyard / Open lawn,Primary Producer (Trophic Level 1),"Striking terminal inflorescence clusters of reddish-pink buds and fragrant blossoms, offering drought tolerance and architectural landscaping value.",Deciduous tree with thick succulent branches and elliptic-oblong pointed leaves. Renowned for rich aromatic deep pink-red blossoms that bloom in terminal cymes.,plumeria_rubra.png,Survey Specimen 10,Team Aryan
FL-11,Beach Spider Lily,Hymenocallis littoralis (syn. Hymenocallis speciosa),Amaryllidaceae,,Plant (Bulbous Perennial Herb / Amaryllidaceae),,Pathway behind Dhanyas,Moist soil border / Drainage margin,Primary Producer (Trophic Level 1),Features elegant white star-shaped flowers with delicate spider-like petals radiating from a central cup. Thrives in moist soils and filters runoff water.,Bulbous perennial herb with strap-like linear leaves and umbels of pure white spider-like blossoms. Roots stabilize soil along moist drainage contours.,hymenocallis_littoralis.png,Survey Specimen 11,Team Aryan
